id,carat,cut,color,clarity,depth,table,price
169,0.53,5,4,7,61.4,57.0,2106
170,1.02,4,4,4,62.7,58.0,5506
171,0.33,3,3,8,61.7,59.0,787
172,1.06,5,2,5,61.8,56.0,6060
173,0.3,4,5,8,60.7,58.0,1013
174,0.28,5,7,4,62.4,57.0,487
175,0.31,5,5,4,61.9,55.0,802
176,1.01,3,6,4,61.9,55.0,6666
177,1.53,5,2,5,62.8,55.0,10796
178,1.07,4,3,3,58.9,59.0,4235
179,0.25,5,5,4,61.6,55.0,535
180,0.33,5,3,6,61.9,57.0,666
181,1.25,4,1,4,62.0,59.0,5264
182,0.32,5,4,7,61.1,55.0,814
183,0.55,5,7,4,60.2,56.0,2459
184,1.12,4,1,2,60.7,61.0,3266
185,0.27,5,4,5,62.3,53.0,527
186,0.93,4,1,5,60.3,58.0,3062
187,0.31,5,3,6,62.5,55.0,802
188,0.43,3,5,4,62.5,60.0,804
189,0.31,2,2,3,63.8,55.0,523
190,1.23,5,3,8,61.3,57.0,8431
191,1.01,3,5,2,62.4,58.0,4416
192,0.4,5,4,6,62.3,54.0,931
193,1.3,4,5,5,62.5,58.0,11392
194,0.5,3,5,2,63.1,60.0,1020
195,2.03,4,7,2,62.4,59.0,18286
196,0.4,3,1,4,62.9,57.0,596
197,0.32,3,6,3,63.3,56.0,720
198,1.01,2,6,2,63.9,58.0,3737
199,1.04,5,3,3,62.5,57.0,4648
200,0.31,4,6,6,61.9,58.0,1046
201,1.06,5,2,4,62.3,56.0,4530
202,1.05,2,3,3,63.1,60.0,4608
203,0.71,5,6,4,62.2,57.0,2776
204,0.34,5,2,5,62.6,56.0,537
205,0.73,5,5,6,62.2,54.0,3193
206,0.99,2,5,2,63.3,54.0,4052
207,0.9,5,6,2,62.2,55.0,4191
208,0.36,3,4,5,62.9,57.0,726
209,0.43,5,6,4,61.9,56.0,1048
210,1.01,4,4,2,62.0,58.0,4327
211,1.19,4,7,2,58.8,58.0,5504
212,0.39,3,3,2,62.4,59.0,562
213,0.87,3,1,3,63.1,60.0,2379
214,0.91,5,6,3,61.4,54.0,5252
215,0.35,5,4,4,61.0,57.0,633
216,1.02,3,5,3,61.9,58.0,5019
217,0.72,3,3,4,62.9,58.0,2396
218,0.7,3,5,3,60.6,60.0,2662
219,1.56,5,1,4,62.4,57.0,7809
220,1.12,3,3,2,61.8,58.0,4624
221,1.12,3,4,2,60.2,59.0,4852
222,2.16,3,3,2,62.3,60.0,14824
223,0.51,5,7,4,62.5,56.0,2056
224,0.24,3,5,6,62.5,56.0,478
225,1.27,4,1,2,60.4,58.0,4660
226,0.9,3,4,4,60.9,59.0,4269
227,0.7,1,3,3,64.5,59.0,2176
228,0.56,5,5,4,62.6,56.0,1761
229,1.13,4,3,3,60.1,60.0,5050
230,0.51,3,1,3,63.3,56.0,1071
231,1.01,5,4,5,62.9,57.0,6176
232,0.56,5,5,4,61.6,55.0,1723
233,0.73,5,4,3,62.1,54.0,2351
234,0.91,4,6,2,62.8,59.0,3898
235,0.4,5,7,5,62.9,56.0,1200
236,0.34,5,6,4,62.2,55.0,956
237,1.7,4,2,4,62.2,58.0,11888
238,0.9,3,6,4,62.9,57.0,4580
239,0.51,5,6,4,61.7,54.0,1781
240,0.7,2,6,4,60.3,60.0,3115
241,0.43,4,4,4,61.3,58.0,867
242,0.73,4,6,3,62.2,59.0,2821
243,0.32,5,6,5,61.4,55.0,713
244,0.32,4,3,7,61.5,59.0,936
245,0.91,3,5,2,62.4,58.0,3659
246,0.4,2,1,4,64.0,57.0,591
247,0.46,5,5,2,62.1,54.7,851
248,1.01,3,2,4,62.3,60.0,4666
249,0.31,5,5,4,62.0,56.0,625
250,1.11,5,3,2,62.0,54.0,4662
251,0.5,4,6,1,60.7,61.0,840
252,0.51,4,6,4,62.5,60.0,1709
253,0.3,5,5,7,61.9,57.0,776
254,0.41,5,6,7,61.3,56.0,1367
255,0.53,2,7,2,63.9,55.0,1226
256,0.3,4,3,4,61.1,59.0,608
257,0.4,4,3,5,62.6,58.0,807
258,0.32,5,7,6,61.2,56.0,803
259,1.3,5,5,6,62.1,55.0,12629
260,2.03,3,2,3,62.3,60.0,16392
261,2.03,2,4,2,62.7,65.0,13621
262,1.2,3,3,3,62.3,57.0,6569
263,2.18,5,2,4,62.0,57.0,13769
264,0.26,4,6,4,62.1,56.0,580
265,0.91,1,3,3,64.7,56.0,3816
266,0.34,5,6,3,62.1,55.0,765
267,0.33,5,4,7,60.8,56.0,868
268,0.33,5,5,7,61.9,55.0,955
269,0.35,4,6,5,62.2,58.0,718
270,0.71,3,4,5,63.3,56.0,2494
271,1.07,4,7,3,60.2,55.0,6112
272,0.71,3,7,5,62.9,56.0,3465
273,2.23,4,1,4,61.0,58.0,14867
274,0.43,5,3,7,61.6,55.0,1017
275,0.55,5,7,4,62.7,57.0,1755
276,0.9,5,4,2,62.3,56.0,3718
277,0.72,3,2,7,62.8,56.0,2562
278,0.31,5,1,5,61.7,55.1,429
279,0.23,5,3,7,61.1,55.0,484
280,0.31,4,6,6,60.4,59.0,1046
281,1.52,5,5,2,61.9,57.0,10129
282,1.22,3,7,2,59.0,58.0,6607
283,1.32,5,2,5,61.2,57.0,7480
284,1.24,4,7,2,59.9,59.0,5382
285,1.01,4,3,4,61.6,59.0,5166
286,0.4,5,2,4,61.8,56.0,639
287,0.8,4,1,2,61.4,57.0,2074
288,0.5,3,6,3,63.0,58.0,1316
289,1.09,2,5,2,60.3,61.0,4698
290,0.3,4,4,8,60.2,58.0,895
291,0.2,4,6,4,59.0,60.0,367
292,1.21,5,4,4,60.1,57.0,9873
293,1.43,1,6,2,66.0,57.0,6086
294,0.56,5,2,8,61.9,54.0,1689
295,1.71,5,1,6,61.6,59.0,10945
296,1.24,4,5,4,62.2,58.0,9411
297,1.43,4,5,3,61.5,58.0,8809
298,2.32,4,1,4,62.4,57.0,17053
299,0.34,4,2,7,62.6,58.0,626
300,0.41,5,6,7,60.7,57.0,1367
301,1.12,3,5,3,62.9,57.0,6262
302,1.03,4,6,4,62.5,59.0,6183
303,1.35,4,5,2,62.8,60.0,6804
304,0.32,5,4,7,61.7,56.0,730
305,0.3,5,7,6,59.4,60.0,802
306,0.5,2,4,4,57.9,61.0,1415
307,1.1,5,4,3,61.6,56.0,6837
308,0.33,4,4,5,61.4,59.0,854
309,0.51,5,4,2,62.1,56.0,1148
310,0.4,4,3,7,61.8,58.0,1088
311,0.73,5,6,3,59.1,59.0,2846
312,1.2,2,7,3,63.5,55.0,5913
313,0.77,5,6,4,61.0,56.0,3303
314,0.71,3,2,3,62.0,56.0,2098
315,0.7,5,5,4,61.0,55.0,3468
316,0.52,4,7,3,60.9,61.0,1605
317,0.57,5,3,7,61.6,56.0,1961
318,0.71,2,2,7,63.8,56.0,2572
319,0.32,5,4,5,62.3,55.0,645
320,0.7,3,1,2,61.7,59.0,1788
321,0.51,5,6,5,62.0,57.0,1841
322,0.31,4,5,7,59.2,62.0,997
323,0.41,5,3,6,62.0,56.0,899
324,0.97,4,5,3,59.9,59.0,4726
325,0.4,3,7,3,63.8,54.0,694
326,0.32,5,7,4,62.0,55.0,972
327,0.3,5,6,6,61.6,57.0,1013
328,0.91,2,3,3,58.2,59.0,3855
329,0.55,5,5,4,61.1,57.0,1819
330,1.09,4,2,2,62.3,62.0,2708
331,0.37,5,6,6,61.4,56.0,876
332,1.01,4,4,3,58.8,58.0,4395
333,0.54,5,5,6,61.6,56.0,2231
334,1.51,4,2,2,62.6,59.0,7292
335,1.05,5,4,5,61.3,57.0,7155
336,0.51,4,2,3,61.3,58.0,1084
337,1.01,3,4,3,63.5,60.0,4271
338,2.04,5,2,3,60.2,56.0,16718
339,1.55,4,1,4,60.7,59.0,8055
340,1.14,2,3,3,62.8,58.0,5487
341,0.41,5,5,8,61.4,56.0,1439
342,0.71,3,5,5,62.2,55.0,3045
343,1.11,4,3,2,60.4,59.0,3605
344,1.12,3,6,2,60.9,63.0,3864
345,0.32,4,3,2,60.4,59.0,504
346,0.7,2,6,2,63.7,55.0,2435
347,0.5,3,5,2,61.4,61.0,1068
348,0.31,5,7,4,62.0,55.0,734
349,1.01,4,4,3,61.0,58.0,4808
350,0.59,3,4,5,62.0,56.0,1878
351,0.32,5,7,4,61.5,56.0,972
352,0.71,5,7,2,61.0,56.0,2505
353,0.37,5,5,6,61.6,57.0,920
354,0.31,2,2,5,63.9,55.0,586
355,0.71,4,3,3,62.9,58.0,2364
356,1.21,4,3,3,61.6,61.0,6505
357,2.01,4,4,2,59.4,58.0,15562
358,0.32,5,7,7,61.8,56.0,1067
359,0.5,4,4,6,61.4,57.0,1909
360,0.31,5,4,8,62.1,56.0,871
361,0.4,3,6,3,63.2,58.0,882
362,0.23,3,7,6,61.3,58.0,530
363,0.38,5,1,4,61.4,57.0,617
364,1.38,3,5,5,61.4,61.0,11286
365,0.56,4,7,4,61.1,58.0,1963
366,1.33,4,4,4,58.6,61.0,9682
367,0.41,1,2,5,65.3,58.0,735
368,0.7,3,6,6,61.5,58.0,3429
369,0.71,5,6,4,61.6,57.0,3112
370,0.42,3,6,6,59.8,56.0,1167
371,1.56,4,3,4,62.2,58.0,10424
372,1.03,4,1,2,62.8,58.0,3634
373,0.41,5,7,5,62.8,57.0,1230
374,0.31,5,4,8,61.7,54.0,891
375,0.42,5,5,7,62.0,55.0,1233
376,0.96,1,4,3,69.7,59.0,3299
377,1.5,5,2,1,61.3,57.0,5593
378,0.4,5,5,8,61.8,55.0,1261
379,0.27,3,3,6,62.1,57.0,486
380,1.29,4,3,2,61.0,57.0,5418
381,1.5,4,2,4,62.5,59.0,9055
382,0.7,3,5,3,61.4,57.0,2161
383,0.54,3,5,5,61.8,59.0,1653
384,1.0,3,5,3,63.5,56.0,5122
385,1.26,4,3,3,62.1,57.0,6435
386,0.91,3,6,3,63.5,57.0,4138
387,0.32,5,2,8,61.4,57.0,655
388,0.7,4,7,5,60.6,58.0,3239
389,0.51,5,5,4,62.6,55.0,1875
390,0.3,5,4,4,60.8,57.0,491
391,0.3,5,3,5,62.5,56.0,675
392,0.56,3,6,6,60.5,57.0,2442
393,1.5,3,7,4,63.0,59.0,13372
394,0.31,5,5,4,62.3,57.0,625
395,0.31,2,5,3,63.1,57.0,516
396,1.62,5,5,5,61.3,56.0,16790
397,0.38,3,7,4,60.9,58.0,933
398,0.51,4,4,4,61.3,59.0,1443
399,1.23,3,3,4,60.6,59.0,6459
400,1.19,4,6,1,60.2,61.0,3572
401,0.55,4,6,4,60.1,59.0,1735
402,1.5,3,5,4,62.6,59.0,12870
403,1.15,4,3,6,58.8,58.0,6917
404,0.56,5,6,5,60.0,55.0,2352
405,1.58,5,7,2,62.5,55.0,11428
406,0.71,3,6,3,62.9,57.0,2573
407,0.39,2,1,4,63.3,56.0,581
408,0.5,1,3,5,66.5,60.0,1155
409,0.71,4,6,3,60.8,60.0,2629
410,0.53,5,3,5,61.6,55.0,1678
411,0.5,5,6,2,61.1,58.0,1185
412,0.5,2,7,3,63.9,56.0,1257
413,2.3,4,2,4,61.8,60.0,18239
414,0.46,3,6,4,61.3,57.0,1081
415,0.32,5,4,5,61.6,55.0,665
416,0.31,3,4,4,63.1,56.0,698
417,0.35,5,6,5,61.9,56.0,1063
418,1.55,4,1,5,62.6,59.0,8593
419,0.33,3,6,5,58.3,62.0,886
420,1.01,3,6,4,63.4,60.0,6787
421,0.71,3,3,6,62.5,56.0,2594
422,1.16,4,2,5,60.4,59.0,5457
423,0.9,1,4,3,65.2,59.0,3250
424,0.49,5,7,5,62.3,55.0,1934
425,1.32,5,4,4,61.1,57.0,9408
426,1.0,1,5,2,59.3,66.0,3975
427,2.46,5,4,2,63.0,56.0,15745
428,0.38,3,5,4,61.9,59.0,800
429,0.38,2,3,3,63.3,57.0,633
430,1.52,2,5,3,63.6,54.0,10664
431,1.03,4,1,2,62.0,58.0,3378
432,1.01,3,5,4,63.3,57.0,6533
433,0.41,4,5,6,60.4,58.0,1115
434,0.7,3,2,5,62.7,58.0,2288
435,0.26,3,4,5,62.4,56.0,423
436,0.78,1,4,3,64.6,56.0,2359
437,0.31,4,5,4,61.5,56.0,802
438,1.2,5,3,4,62.0,56.0,6666
439,1.08,5,3,3,60.5,57.0,6426
440,1.3,5,3,7,62.8,55.2,9232
441,1.05,3,5,8,59.7,55.0,11417
442,1.01,3,5,2,61.0,60.0,5067
443,0.75,5,4,3,62.2,55.0,2760
444,0.77,5,1,3,62.0,57.0,2257
445,0.91,3,6,4,62.2,60.0,4759
446,0.78,2,6,3,57.9,62.0,2723
447,0.33,5,6,5,60.0,57.0,802
448,1.01,4,3,4,62.9,60.0,4559
449,0.3,3,7,4,62.5,57.0,670
450,0.3,3,3,6,62.0,55.0,533
451,0.44,3,1,5,61.9,57.0,694
452,0.4,4,7,4,62.4,59.0,1050
453,0.9,1,5,4,64.7,54.0,3931
454,0.42,5,7,4,61.4,56.0,1103
455,0.41,4,2,6,59.9,58.0,1061
456,1.52,4,6,2,60.8,60.0,9193
457,1.02,2,1,2,62.2,61.0,3639
458,0.36,5,4,4,60.6,56.0,664
459,0.53,5,3,2,61.6,54.0,1020
460,0.34,4,4,7,59.0,62.0,1071
461,0.43,5,4,3,61.8,55.0,795
462,1.05,4,7,3,59.3,58.0,6174
463,0.54,5,5,4,61.0,56.0,1615
464,0.31,4,4,2,62.3,57.0,523
465,0.3,2,2,3,64.1,57.0,391
466,1.0,2,4,5,63.9,55.0,6028
467,1.0,3,4,2,62.6,58.0,4725
468,1.2,5,2,6,61.5,57.0,6581
469,0.33,5,3,7,62.1,55.0,730
470,1.53,5,4,6,61.4,59.0,15275
471,1.51,4,6,4,59.8,58.0,14482
472,1.01,4,7,4,61.6,59.0,6271
473,1.01,3,4,3,62.0,63.0,3137
474,0.57,5,4,4,60.2,59.0,1642
475,0.5,5,2,3,62.0,55.0,982
476,0.33,3,7,6,61.9,56.0,856
477,0.44,4,7,5,60.2,59.0,1232
478,0.72,3,6,2,63.5,59.0,2376
479,0.32,5,5,8,62.2,54.0,943
480,1.01,4,6,3,60.7,58.0,5525
481,1.01,1,7,3,65.0,57.0,5385
482,1.5,4,2,4,62.3,60.0,9479
483,1.0,2,4,4,59.1,62.0,6369
484,1.08,2,4,4,58.9,58.0,6708
485,0.3,2,3,6,63.6,56.0,605
486,0.34,4,2,5,59.5,59.0,537
487,0.52,5,5,4,61.5,56.0,1981
488,0.91,5,3,3,62.0,56.0,4337
489,1.5,5,3,3,61.6,57.0,7627
490,1.25,3,3,2,63.5,57.0,4060
491,0.4,2,5,6,62.2,63.0,936
492,2.31,4,1,5,62.3,61.0,17451
493,0.9,3,4,5,61.7,60.0,4872
494,0.32,3,7,4,61.8,57.0,758
495,0.7,4,5,2,62.9,57.0,2184
496,1.01,5,2,3,62.3,59.0,4518
497,0.55,2,4,3,63.6,61.0,1213
498,0.31,5,7,4,62.1,54.0,804
499,0.27,5,7,6,61.5,56.0,586
500,0.4,4,6,4,61.9,59.0,975
501,0.6,3,5,4,62.1,57.0,1772
502,0.4,5,2,7,60.5,57.0,1080
503,1.2,5,4,5,62.0,55.0,9625
504,1.09,4,7,3,61.6,58.0,5799
505,0.67,5,3,3,62.1,54.0,1550
506,0.7,4,6,4,61.0,59.0,3199
507,0.52,5,2,5,61.5,56.0,1357
508,0.33,4,3,5,61.9,58.0,743
509,0.7,3,6,4,60.2,62.0,2843
510,0.57,3,6,3,62.1,58.0,1397
511,1.01,4,6,3,62.4,60.0,5002
512,0.54,5,4,6,62.0,56.0,1920
513,2.01,4,5,3,59.5,58.0,14502
514,0.31,5,4,8,61.6,56.0,839
515,1.01,1,5,5,64.7,54.0,6759
516,0.32,3,3,3,61.9,59.0,449
517,1.01,5,6,3,60.8,56.0,6346
518,0.91,5,5,4,62.6,55.0,5261
519,0.5,4,5,4,60.7,58.0,1654
520,1.2,1,2,1,66.2,55.0,3011
521,1.11,4,4,2,61.2,59.0,4755
522,0.33,2,4,5,63.1,57.0,666
523,1.04,5,4,4,61.9,57.0,6628
524,1.0,4,1,5,62.8,57.0,4144
525,0.33,4,4,5,62.3,58.0,666
526,0.56,5,6,4,60.7,57.0,1819
527,0.32,5,6,6,61.3,54.0,779
528,0.7,4,6,4,60.8,58.0,2697
529,0.4,5,4,8,62.3,55.0,1229
530,1.35,3,3,2,62.2,56.0,6088
531,0.43,4,7,3,61.0,58.0,774
532,0.91,3,7,2,62.7,59.0,3298
533,0.77,5,5,3,61.5,55.0,3321
534,0.9,4,6,3,62.2,59.0,4259
535,0.35,5,6,3,60.7,56.0,667
536,1.06,5,7,6,62.0,57.0,11837
537,2.06,2,1,3,64.1,56.0,11854
538,0.39,5,6,3,62.1,53.0,719
539,1.0,3,7,5,60.0,60.0,7281
540,1.0,3,7,2,63.5,59.0,4295
541,0.31,5,6,2,61.3,55.0,435
542,1.02,5,3,2,58.8,57.0,3142
543,0.9,4,5,3,61.3,58.0,3714
544,0.25,3,5,8,59.4,62.0,548
545,1.04,3,4,2,60.3,62.0,4084
546,0.53,5,4,5,61.9,56.0,1813
547,0.31,3,5,5,61.8,58.0,592
548,0.7,2,4,2,64.1,56.0,1935
549,0.54,5,2,5,61.5,56.0,1147
550,0.41,4,4,4,62.6,59.0,1061
551,0.71,3,6,4,61.2,58.0,2891
552,1.21,4,1,4,59.9,59.0,4841
553,1.84,5,1,5,62.4,56.0,8828
554,0.24,2,6,7,58.0,60.0,526
555,1.25,4,2,4,61.0,59.0,5975
556,0.32,3,7,3,62.3,55.0,589
557,0.53,2,6,4,63.7,55.0,1727
558,0.35,3,4,8,62.1,56.0,833
559,2.48,3,3,3,63.3,56.0,17893
560,0.32,3,5,7,61.9,59.0,926
561,1.02,5,4,6,61.8,56.0,9286
562,0.32,3,3,5,61.7,61.0,561
563,1.5,3,4,3,62.8,57.0,9996
564,0.7,4,7,2,61.8,55.0,2222
565,1.6,5,4,8,59.8,54.0,16547
566,0.3,3,5,4,62.8,58.0,605
567,0.36,3,5,5,60.1,59.0,825
568,1.37,4,4,5,58.3,60.0,10412
569,0.43,4,5,4,59.8,58.0,905
570,1.25,5,4,3,60.7,56.0,8226
571,0.6,5,5,3,61.5,58.0,1646
572,1.5,4,6,4,62.3,60.0,14179
573,0.5,5,7,4,61.7,56.0,1844
574,0.34,3,7,4,60.0,59.0,730
575,0.71,5,4,3,61.1,57.0,2307
576,0.3,4,2,5,61.6,61.0,567
577,0.28,3,3,6,62.0,55.0,522
578,1.2,3,2,5,62.8,54.5,6652
579,1.51,3,1,3,62.4,58.0,7136
580,0.31,3,3,4,63.1,58.0,628
581,1.51,4,5,2,59.9,58.0,9471
582,0.71,4,6,3,61.8,59.0,2792
583,0.58,4,3,4,59.7,59.0,1439
584,1.05,4,6,2,59.5,59.0,4742
585,0.36,5,4,7,62.8,57.0,1053
586,0.57,4,4,3,62.6,56.0,1915
587,0.56,5,5,4,61.0,55.0,1708
588,0.52,4,6,4,61.6,59.0,1576
589,0.31,3,3,4,63.2,58.0,628
590,1.51,3,6,4,63.3,56.0,14482
591,0.41,5,4,8,62.4,54.0,1367
592,1.0,2,6,4,64.0,58.0,5376
593,1.04,4,5,6,62.5,58.0,8946
594,1.04,4,7,2,61.6,58.0,4811
595,1.1,5,5,4,58.6,57.0,5692
596,1.21,4,4,4,62.2,60.0,7611
597,1.1,3,4,7,61.5,57.0,8020
598,0.42,5,4,6,62.1,57.0,1031
599,1.51,5,3,3,62.8,55.0,10502
600,0.31,5,5,7,61.0,57.0,884
601,0.71,4,3,2,60.5,60.0,2224
602,1.09,5,5,5,61.7,57.0,8730
603,1.2,4,6,4,62.7,59.0,9139
604,0.38,5,3,5,62.1,55.4,714
605,0.79,2,3,2,59.2,58.0,2346
606,1.17,3,3,3,59.6,62.0,6336
607,1.24,3,1,2,63.1,60.0,3791
608,0.4,5,3,6,61.1,55.0,868
609,0.34,5,7,3,60.6,56.0,626
610,0.3,5,6,4,61.4,56.0,621
611,0.42,4,4,7,59.8,58.0,1235
612,1.29,5,4,3,60.9,59.0,7463
613,1.23,5,5,2,62.3,58.0,5894
